epoch	method	glm	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	ols	12	L	M1	4.451534693457798e-33	1.3063599611406127	0.06553829791136875	-1.0000000000054536	uncertainty	113	M1-S1
plan	ols	12	L	M1	0.04473930887998079	1.0562737158130762	0.1754913986904288	17.901941271269607	uncertainty	114	M1-S1
plan	ols	12	L	M1	0.013690517703364198	0.6786586594391174	0.025885987810566856	3.290868817883914	uncertainty	115	M1-S1
plan	ols	12	L	S1	4.003486257189084e-13	1.4542363168362462	0.022284330906227556	-1.0000000000173772	expectation	102	M1-S1
plan	ols	12	L	S1	0.06381083335207875	1.405762982785424	0.08263088145011248	43.30133631672958	expectation	103	M1-S1
plan	ols	12	L	S1	0.015086308577018724	1.063116987215306	0.030836267491639795	3.4958558364254295	expectation	104	M1-S1
plan	ols	12	L	S1	7.300673982757697e-18	0.7434559393306756	0.009378431132921092	-1.00000000004433	expectation	105	M1-S1
plan	ols	12	L	S1	0.0401211107583998	1.0908875796295328	0.0401211107583998	25.905542012285448	expectation	106	M1-S1
plan	ols	12	L	S1	0.006648833161027858	1.2782232582123834	0.006648833161027858	-0.34967642421628575	expectation	107	M1-S1
plan	ols	12	L	S1	0.011345777778840414	1.0794710709460305	0.01738924816375874	1.4719480930627973	expectation	108	M1-S1
plan	ols	12	L	S1	0.07719688099986734	1.5090142103604272	0.10963712285010555	25.596035588973606	expectation	109	M1-S1
plan	ols	12	L	S1	0.14045939876152522	1.8758549210321056	0.1557947767914219	95.65405294858779	expectation	110	M1-S1
plan	ols	12	L	S1	0.05173920022202059	0.8239939742872776	0.06726910541669356	77.85632550606037	expectation	111	M1-S1
plan	ols	12	L	S1	0.02701997707370053	1.4903244073824415	0.06715628880672235	7.829888449166713	expectation	112	M1-S1
plan	ols	12	L	S1	0.08916304990906894	1.6261621246261393	0.08916304990906894	19.87086859205276	expectation	113	M1-S1
plan	ols	12	L	S1	0.11176482753360849	1.2230359599145093	0.13303992454223318	144.89096236043156	expectation	114	M1-S1
plan	ols	12	L	S1	0.022036311963545944	0.7928090570325234	0.022036311963545944	15.69103499801881	expectation	115	M1-S1
plan	ols	12	L	S1	0.022284330905827206	1.4542363168362462	0.022284330906227556	2.5198399451044433	uncertainty	102	M1-S1
plan	ols	12	L	S1	0.018820048098033722	1.405762982785424	0.08263088145011248	3.6069360781475552	uncertainty	103	M1-S1
plan	ols	12	L	S1	0.01574995891462107	1.063116987215306	0.030836267491639795	3.8792752084136923	uncertainty	104	M1-S1
plan	ols	12	L	S1	0.009378431132921085	0.7434559393306756	0.009378431132921092	2.619608230295026	uncertainty	105	M1-S1
plan	ols	12	L	S1	1.6630017729205786e-21	1.0908875796295328	0.0401211107583998	-0.9999999999927239	uncertainty	106	M1-S1
plan	ols	12	L	S1	8.647250672249649e-51	1.2782232582123834	0.006648833161027858	-0.9999999999789417	uncertainty	107	M1-S1
plan	ols	12	L	S1	0.006043470384918323	1.0794710709460305	0.01738924816375874	-0.2796560486225894	uncertainty	108	M1-S1
plan	ols	12	L	S1	0.032440241850238215	1.5090142103604272	0.10963712285010555	4.297503191969296	uncertainty	109	M1-S1
